gene_name,utr5_cpm,utr5_ai_rate,utr5_m6a_rate,utr5_unmod_rate,utr3_cpm,utr3_ai_rate,utr3_m6a_rate,utr3_unmod_rate,exon_cpm,exon_ai_rate,exon_m6a_rate,exon_unmod_rate,intron_cpm,intron_ai_rate,intron_m6a_rate,intron_unmod_rate,utr5_either_rate,utr3_either_rate,exon_either_rate,intron_either_rate,total_ai_rate,total_m6a_rate,total_either_rate,total_cpm
BLCAP,20.554984666666666,0.169401,0.291406,0.544987,2272.9398816666667,0.073972,0.268574,0.65797,78.31014933333333,0.063811,0.170179,0.76601,9.239516666666667,0.073985,0.229951,0.699286,0.46080699999999997,0.34254599999999996,0.23399,0.303936,0.09529225,0.24002749999999998,0.33531974999999997,595.2611330833333
ALG9,20.56432333333333,0.064362,0.232286,0.703352,82.30275666666667,0.059057,0.187461,0.753571,183.135372,0.068823,0.189843,0.742901,5.680940333333333,0.066786,0.245178,0.692952,0.296648,0.246518,0.258666,0.311964,0.064757,0.213692,0.27844900000000006,72.92084808333334
VPS41,0.0,0.0,0.0,0.0,648.9405053333334,0.063884,0.184518,0.752436,28.20013,0.08826,0.151606,0.763789,1.2876003333333335,0.060225,0.246581,0.693536,0.0,0.24840199999999998,0.239866,0.306806,0.05309225,0.14567625,0.19876850000000001,226.14274522222226
RAB6A,7.7821015,0.006836,0.260254,0.73291,5248.525073666667,0.048986,0.2219,0.730247,81.40063666666667,0.05903,0.232345,0.710414,1.3709766666666665,0.074415,0.213818,0.711767,0.26709,0.27088599999999996,0.291375,0.288233,0.047316750000000005,0.23207925000000001,0.279396,1334.769697125
CHD4,43.38624333333333,0.063072,0.175972,0.760957,6925.632563333334,0.071453,0.154069,0.776457,470.5415276666666,0.072719,0.133874,0.795991,12.248844333333333,0.089396,0.233099,0.679744,0.23904399999999998,0.225522,0.206593,0.322495,0.07416,0.1742535,0.24841349999999998,1862.9522946666666
PNISR,95.389507,0.153505,0.253234,0.597938,1214.5430846666666,0.062303,0.17795,0.761382,1316.736208,0.068521,0.148465,0.785534,18.502617333333333,0.055598,0.217817,0.728648,0.406739,0.240253,0.216986,0.273415,0.08498175,0.19936650000000003,0.28434825,661.2928542500001
ZNF266,26.294498666666666,0.052314,0.288462,0.659255,1367.491166,0.062112,0.130689,0.809486,784.6209256666667,0.059502,0.217879,0.725451,4.193187,0.098699,0.210066,0.692963,0.34077599999999997,0.192801,0.277381,0.308765,0.06815675,0.211774,0.27993075,545.6499443333333
KIF3B,0.0,0.0,0.0,0.0,244.058914,0.055986,0.255173,0.692702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31115899999999996,0.0,0.0,0.0139965,0.06379325,0.07778974999999999,244.058914
KDM3A,164.141414,0.132272,0.158534,0.714543,4385.259631666667,0.062873,0.122959,0.815775,121.78517399999998,0.064158,0.089132,0.847527,7.940758666666665,0.082484,0.179772,0.741246,0.290806,0.185832,0.15329,0.262256,0.08544675,0.13759925,0.22304600000000002,1169.7817445833332
KDM2A,720.51462,0.067183,0.2477,0.68926,3.997335,0.044198,0.172526,0.783275,15.246964333333331,0.063903,0.164834,0.774443,3.988841666666667,0.059661,0.183974,0.758757,0.314883,0.21672400000000003,0.22873700000000002,0.243635,0.05873625,0.1922585,0.25099475000000004,185.93694025000002
TGIF2,198.50187266666663,0.092534,0.154407,0.755178,3356.3218393333336,0.070252,0.144708,0.78732,989.225589,0.06764,0.069515,0.864122,33.036435,0.080046,0.216605,0.707626,0.246941,0.21495999999999998,0.137155,0.296651,0.07761799999999999,0.14630875,0.22392675,1144.271434
PAN3,289.0855456666667,0.07378,0.145607,0.783363,1973.549204,0.05681,0.233856,0.712314,68.81881866666667,0.111562,0.193764,0.702685,10.501601333333333,0.061288,0.210494,0.731759,0.219387,0.290666,0.305326,0.27178199999999997,0.07586,0.19593024999999997,0.27179025,585.4887924166667
SNU13,57.46694233333333,0.055228,0.177643,0.768726,15906.0,0.06459,0.239865,0.695935,12029.91453,0.060351,0.251488,0.691651,102.01385366666666,0.059348,0.158055,0.784879,0.232871,0.304455,0.311839,0.217403,0.059879249999999995,0.20676275,0.266642,7023.8488315
WDR20,197.49074833333336,0.042829,0.246981,0.713319,5588.072021,0.062166,0.162451,0.777118,6641.140500333334,0.055901,0.218006,0.729122,10.158847666666666,0.068034,0.226529,0.71004,0.28981,0.224617,0.273907,0.294563,0.057232500000000006,0.21349175,0.27072425,3109.215529333334
CSNK1A1,102.94728100000002,0.072533,0.220687,0.710811,5811.332127666666,0.052948,0.244414,0.703494,80.44930133333334,0.057621,0.214976,0.72783,44.07096533333333,0.071911,0.214439,0.716718,0.29322,0.297362,0.272597,0.28635,0.06375325000000001,0.22362900000000002,0.28738224999999995,1509.699918833333
CHD1,385.3681823333333,0.089374,0.232139,0.682567,438.0556236666667,0.04901,0.210047,0.741655,82.32968933333333,0.041334,0.196101,0.763767,9.268372999999999,0.068933,0.219338,0.713989,0.321513,0.259057,0.237435,0.288271,0.06216275,0.21440625000000002,0.276569,228.75546708333334
DCTN6,600.0,0.036241,0.224826,0.741102,1188.1258943333335,0.054568,0.192338,0.754788,225.7126233333333,0.080008,0.128997,0.793623,24.322640333333336,0.067472,0.205692,0.729717,0.261067,0.24690600000000001,0.209005,0.273164,0.05957225,0.18796325,0.24753550000000002,509.54028950000003
KDELR2,68.4210525,0.082332,0.054087,0.863582,1924.9512669999997,0.05693,0.222811,0.720567,726.8632269999999,0.044069,0.133691,0.823653,5.796113333333334,0.04507,0.21259,0.742866,0.136419,0.279741,0.17776,0.25766,0.05710025,0.15579475,0.212895,681.5079149583332
RBBP4,31.731361666666672,0.059694,0.206007,0.737181,2104.039029,0.064949,0.231871,0.706317,157.35892966666668,0.096773,0.107868,0.79811,5.525423666666666,0.062866,0.222,0.717972,0.26570099999999996,0.29682,0.20464100000000002,0.284866,0.07107050000000001,0.19193649999999998,0.263007,574.663686
RAB7A,27.027027,0.049219,0.019531,0.93125,15186.288759666664,0.055404,0.20278,0.744249,1652.777777666667,0.091625,0.06813,0.842078,4.608686,0.119675,0.192936,0.691475,0.06875,0.25818399999999997,0.15975499999999998,0.31261099999999997,0.07898074999999999,0.12084424999999999,0.19982499999999997,4217.675562583333
POMP,127.272727,0.011719,0.115513,0.872768,6415.791520666667,0.047644,0.093265,0.860003,5543.818466333333,0.080555,0.037831,0.882099,21.216382,0.073399,0.279737,0.65555,0.127232,0.140909,0.11838599999999999,0.353136,0.053329249999999995,0.1315865,0.18491575,3027.024774
HSPA1L,113.51784966666668,0.11012,0.188452,0.71051,9189.068954666667,0.055531,0.174922,0.771986,1419.0016103333335,0.081906,0.250666,0.673308,20.517677,0.077005,0.207687,0.71657,0.298572,0.230453,0.332572,0.284692,0.0811405,0.20543174999999997,0.28657225,2685.5265229166666
SAFB,7.832898,0.0,0.003906,0.996094,6912.606341999999,0.112932,0.177766,0.714549,265.84757833333333,0.115715,0.144716,0.743818,10.852032999999999,0.130292,0.22585,0.650969,0.003906,0.290698,0.260431,0.35614199999999996,0.08973475,0.1380595,0.22779425,1799.284712833333
KDM2B,138.94455566666667,0.08143,0.21967,0.702411,3400.227864666667,0.066473,0.229089,0.706101,145.27458533333333,0.081664,0.179852,0.740565,8.849557333333333,0.070841,0.225751,0.707394,0.30110000000000003,0.295562,0.261516,0.296592,0.075102,0.21359050000000002,0.2886925,923.3241407500001
NUCKS1,79.74481666666667,0.071094,0.265469,0.663438,3188.469525,0.075048,0.236054,0.689729,475.40983600000004,0.079349,0.198096,0.725388,27.442241,0.063511,0.254138,0.683627,0.336563,0.311102,0.277445,0.31764899999999996,0.0722505,0.23843925,0.31068975,942.7666046666667
ZNF329,0.0,0.0,0.0,0.0,539.5167896666666,0.076634,0.244026,0.688249,21.730217333333332,0.029813,0.244767,0.726968,0.0,0.0,0.0,0.0,0.0,0.32066,0.27458,0.0,0.026611749999999997,0.12219825000000001,0.14881,280.62350349999997
USP3,618.8287366666667,0.054066,0.195093,0.754038,35.962877,0.073016,0.221744,0.709433,185.00619566666668,0.068316,0.130042,0.804905,3.3648813333333334,0.130012,0.250154,0.622305,0.249159,0.29476,0.19835799999999998,0.380166,0.0813525,0.19925825,0.28061075,210.7906726666667
GTF2B,49.019607666666666,0.1,0.279297,0.620703,3379.310345,0.059129,0.096989,0.844978,749.0361026666666,0.05577,0.094318,0.850974,23.578673,0.057652,0.230697,0.712625,0.379297,0.156118,0.150088,0.288349,0.06813775,0.17532525000000002,0.24346299999999998,1050.2361820833332
