gene_name,utr5_cpm,utr5_ai_rate,utr5_m6a_rate,utr5_unmod_rate,utr3_cpm,utr3_ai_rate,utr3_m6a_rate,utr3_unmod_rate,exon_cpm,exon_ai_rate,exon_m6a_rate,exon_unmod_rate,intron_cpm,intron_ai_rate,intron_m6a_rate,intron_unmod_rate,utr5_either_rate,utr3_either_rate,exon_either_rate,intron_either_rate,total_ai_rate,total_m6a_rate,total_either_rate,total_cpm
CAPZA2,0.0,0.0,0.0,0.0,534.831819,0.051848,0.169338,0.781748,332.55903966666665,0.095796,0.059308,0.845305,1.342035,0.059058,0.212578,0.729309,0.0,0.221186,0.15510400000000002,0.271636,0.0516755,0.11030599999999999,0.1619815,289.57763122222224
DIABLO,7.665822000000001,0.049159,0.115234,0.838486,152.74853833333333,0.065108,0.145203,0.790616,17.921147,0.081981,0.1422,0.778654,0.8052546666666668,0.047135,0.113914,0.838951,0.164393,0.210311,0.224181,0.161049,0.060845750000000004,0.12913775,0.1899835,44.78519049999999
EP300,0.0,0.0,0.0,0.0,2155.218555,0.054654,0.254344,0.695042,67.816885,0.065163,0.228023,0.711176,5.597512333333333,0.055815,0.208989,0.738718,0.0,0.308998,0.293186,0.264804,0.043908,0.172839,0.21674700000000002,742.8776507777778
UBE2D2,1376.6628656666664,0.063081,0.078088,0.860155,2912.7859476666667,0.076897,0.174942,0.751874,2384.3843843333334,0.071472,0.065441,0.864942,6.954124333333334,0.082658,0.105617,0.815562,0.141169,0.251839,0.136913,0.188275,0.073527,0.10602199999999999,0.179549,1670.1968305
SIN3A,7.640068,0.038628,0.219184,0.742188,712.7241463333334,0.06543,0.241182,0.693602,143.03411466666665,0.109694,0.205869,0.686812,8.853272333333333,0.088909,0.251577,0.659781,0.257812,0.306612,0.315563,0.340486,0.07566525,0.22945300000000002,0.30511825000000004,218.06290033333335
ATG13,135.706492,0.061987,0.203643,0.737423,264.24761,0.078693,0.291321,0.630131,39.27417366666667,0.047229,0.164194,0.790356,1.3252496666666667,0.053657,0.225726,0.725062,0.26563,0.370014,0.211423,0.279383,0.0603915,0.22122099999999997,0.2816125,110.13838133333334
BLCAP,4.110997,0.117188,0.36084,0.521973,719.3561696666667,0.071906,0.263508,0.664671,32.97269433333333,0.062622,0.185913,0.751465,6.199162666666666,0.06668,0.244427,0.688893,0.478028,0.335414,0.248535,0.311107,0.079599,0.263672,0.343271,190.65975591666668
ALG9,38.378766,0.053592,0.029717,0.916691,16.632613,0.081737,0.172271,0.746001,85.24976833333332,0.084822,0.193676,0.727045,1.0659006666666666,0.058594,0.257827,0.683636,0.083309,0.254008,0.27849799999999997,0.31642099999999995,0.06968624999999999,0.16337275,0.233059,35.331762
VPS41,0.0,0.0,0.0,0.0,71.210269,0.07162,0.134238,0.795947,7.017544,0.065755,0.180122,0.75897,1.1398126666666668,0.059296,0.193533,0.747436,0.0,0.20585799999999999,0.245877,0.252829,0.049167749999999996,0.12697324999999998,0.176141,26.45587522222222
RAB6A,0.0,0.0,0.0,0.0,1235.840708,0.053239,0.210321,0.738562,53.66075466666666,0.072961,0.2067,0.722358,0.04853,0.003906,0.136719,0.859375,0.0,0.26356,0.279661,0.140625,0.0325265,0.138435,0.1709615,429.84999755555555
CHD4,0.0,0.0,0.0,0.0,1681.4081410000001,0.08075,0.141434,0.779605,224.3528663333333,0.079649,0.132975,0.789466,19.857082666666667,0.120159,0.224753,0.658969,0.0,0.222184,0.212624,0.344912,0.07013950000000001,0.1247905,0.19493,641.8726966666667
PNISR,77.37148933333334,0.064092,0.179808,0.757719,450.78196866666667,0.076659,0.1583,0.767029,659.3416783333333,0.085383,0.171961,0.74657,15.73581133333333,0.086384,0.229839,0.691408,0.2439,0.234959,0.257344,0.316223,0.0781295,0.184977,0.2631065,300.80773691666667
ZNF266,50.16181233333333,0.058121,0.25975,0.687106,1139.7722809999998,0.078091,0.139257,0.784814,601.476679,0.068235,0.166913,0.767895,4.627541666666667,0.060681,0.197244,0.744867,0.31787099999999996,0.21734799999999999,0.23514800000000002,0.257925,0.066282,0.190791,0.257073,449.0095785
KIF3B,0.0,0.0,0.0,0.0,40.209632,0.061692,0.262956,0.677265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32464800000000005,0.0,0.0,0.015423,0.065739,0.08116200000000001,40.209632
KDM3A,53.030303,0.055804,0.017857,0.926339,2705.750977333333,0.071812,0.134348,0.796271,111.447302,0.087734,0.113735,0.800982,6.719652666666666,0.080055,0.184258,0.739074,0.073661,0.20616,0.201469,0.264313,0.07385125000000001,0.1125495,0.18640075,719.23705875
KDM2A,959.906433,0.076842,0.251347,0.67676,0.0,0.0,0.0,0.0,15.429562666666664,0.057484,0.13725,0.806259,3.2462773333333335,0.061592,0.238849,0.705041,0.32818899999999995,0.0,0.19473400000000002,0.300441,0.0489795,0.1568615,0.205841,326.194091
TGIF2,39.325843,0.035296,0.242606,0.722098,1050.3070386666666,0.076724,0.156074,0.769643,235.01683466666665,0.099374,0.076569,0.826743,8.610698666666666,0.070736,0.217634,0.716792,0.277902,0.232798,0.17594300000000002,0.28837,0.0705325,0.17322074999999998,0.24375324999999998,333.31510375
PAN3,14.749263000000001,0.182031,0.232031,0.585938,409.3543873333333,0.053456,0.242812,0.70787,15.265265333333334,0.156186,0.126729,0.717725,1.026373,0.035701,0.227954,0.738457,0.414062,0.296268,0.282915,0.263655,0.1068435,0.2073815,0.314225,110.09882216666665
SNU13,39.982453,0.099352,0.300328,0.609148,3254.3333333333335,0.058423,0.201658,0.740794,4657.264957333333,0.059235,0.210398,0.7337,50.959742,0.06228,0.15833,0.782357,0.39968,0.260081,0.269633,0.22061,0.06982250000000001,0.2176785,0.287501,2000.6351214166666
WDR20,56.68381633333333,0.049096,0.246573,0.70761,2453.5626896666668,0.062097,0.157419,0.78241,3257.6791809999995,0.059001,0.218059,0.72635,6.533986,0.054406,0.233446,0.715513,0.29566899999999996,0.219516,0.27706,0.287852,0.056150000000000005,0.21387425,0.27002424999999997,1443.6149182499998
CSNK1A1,114.985471,0.059524,0.166544,0.777555,772.3241196666668,0.056093,0.212411,0.733565,54.037644,0.058243,0.195005,0.748091,21.191703666666665,0.067873,0.203228,0.731173,0.226068,0.26850399999999996,0.25324800000000003,0.271101,0.06043325000000001,0.194297,0.25473025,240.63473458333334
CHD1,30.31388,0.054703,0.213813,0.735682,483.321099,0.055464,0.173574,0.771909,136.0014823333333,0.058257,0.178497,0.764816,3.648763,0.04843,0.217714,0.734546,0.268516,0.22903800000000002,0.236754,0.266144,0.054213500000000005,0.1958995,0.250113,163.32130608333335
DCTN6,700.0,0.048921,0.264695,0.687872,394.134478,0.063946,0.199056,0.739203,175.10180366666668,0.077087,0.148567,0.778096,20.737180666666667,0.056347,0.15506,0.790636,0.313616,0.263002,0.22565400000000002,0.211407,0.061575250000000005,0.1918445,0.25341975000000005,322.49336558333334
KDELR2,147.368421,0.045759,0.004743,0.949498,566.7641323333334,0.069543,0.17032,0.760686,451.6789513333333,0.047247,0.158467,0.796811,3.4744206666666666,0.053209,0.135897,0.81522,0.050502,0.239863,0.205714,0.189106,0.0539395,0.11735675,0.17129624999999998,292.32148133333334
RBBP4,36.04436233333333,0.084435,0.069645,0.84592,174.00347933333333,0.067695,0.244763,0.691714,29.377544999999998,0.081554,0.152885,0.768229,0.9326913333333332,0.10234,0.163766,0.736356,0.15408,0.312458,0.234439,0.266106,0.084006,0.15776475,0.24177074999999998,60.0895195
RAB7A,0.0,0.0,0.0,0.0,1644.3798450000002,0.058816,0.192024,0.751198,259.61538466666667,0.078551,0.057661,0.86476,1.9707433333333333,0.064663,0.231485,0.705434,0.0,0.25084,0.136212,0.29614799999999997,0.0505075,0.1202925,0.1708,635.321991
POMP,0.0,0.0,0.0,0.0,733.5667056666667,0.047258,0.068229,0.885569,1104.0688576666664,0.089799,0.050255,0.861545,15.394044333333333,0.143511,0.226521,0.632108,0.0,0.115487,0.140054,0.370032,0.07014200000000001,0.08625125,0.15639325,617.6765358888889
HSPA1L,0.0,0.0,0.0,0.0,1410.867493,0.05659,0.152758,0.793221,119.96779366666665,0.083518,0.22424,0.700139,0.0,0.0,0.0,0.0,0.0,0.209348,0.307758,0.0,0.035027,0.0942495,0.1292765,765.4176433333333
SAFB,3.916449,0.221354,0.052083,0.726562,1441.6086619999999,0.106317,0.161215,0.735783,102.08926866666667,0.111626,0.141281,0.750718,5.884646666666666,0.150514,0.244308,0.610304,0.273437,0.267532,0.252907,0.394822,0.14745275,0.14972175,0.2971745,388.3747565833333
KDM2B,0.0,0.0,0.0,0.0,875.4882809999999,0.085314,0.248596,0.667487,34.99361433333333,0.082801,0.228965,0.691036,1.4376113333333331,0.086391,0.212656,0.706252,0.0,0.33391000000000004,0.311766,0.299047,0.0636265,0.17255425000000002,0.23618075,303.97316888888884
NUCKS1,0.0,0.0,0.0,0.0,373.64113833333334,0.075816,0.225839,0.700095,65.11839733333333,0.089079,0.239265,0.678704,36.162607666666666,0.115628,0.254116,0.633128,0.0,0.301655,0.328344,0.369744,0.07013075,0.179805,0.24993575,158.3073811111111
ZNF329,0.0,0.0,0.0,0.0,419.3284193333334,0.075754,0.25732,0.672968,57.195572,0.049759,0.288012,0.669509,0.0,0.0,0.0,0.0,0.0,0.333074,0.337771,0.0,0.031378249999999996,0.13633299999999998,0.16771124999999998,238.26199566666668
USP3,523.8905913333333,0.057097,0.187522,0.757823,40.32201333333334,0.053908,0.226392,0.722278,235.81164833333332,0.063555,0.135789,0.802818,6.904834666666666,0.05191,0.20028,0.749883,0.244619,0.2803,0.199344,0.25219,0.0566175,0.18749575000000002,0.24411325,201.73227191666666
GTF2B,0.0,0.0,0.0,0.0,2082.183908,0.065453,0.082336,0.853499,458.11426566666665,0.050216,0.065755,0.884728,8.936861333333335,0.058434,0.172757,0.771166,0.0,0.147789,0.11597099999999999,0.23119099999999998,0.04352575,0.080212,0.12373775,849.7450116666665
CCT4,330.31674200000003,0.069233,0.254923,0.675844,74.232325,0.048491,0.150158,0.803845,1062.4895573333333,0.055651,0.089587,0.855958,4.579327666666667,0.06867,0.241508,0.690459,0.324156,0.19864900000000002,0.145238,0.310178,0.06051125,0.18404399999999999,0.24455525,367.90448799999996
DCTN4,0.0,0.0,0.0,0.0,402.85468199999997,0.055879,0.240224,0.704156,32.288699,0.143756,0.246582,0.609662,3.9387030000000003,0.148466,0.233827,0.617778,0.0,0.296103,0.39033799999999996,0.382293,0.08702525,0.18015825,0.2671835,146.36069466666666
ACYP2,136.76341233333332,0.025083,0.205788,0.769255,228.97841400000001,0.057399,0.16649,0.778348,29.479377666666668,0.061473,0.152433,0.789851,2.3041686666666665,0.070802,0.230684,0.703479,0.230871,0.223889,0.213906,0.30148600000000003,0.05368925,0.18884875,0.242538,99.38134316666667
